"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"62b58c9d-389f-4684-8110-525db9e3ae57","Faubourg St. Antoine","char-offset:356997","PLACE","","","","","","UNVERIFIED","",""
"a01f6072-a830-405b-ac90-3fdc1de2a627","Worcester","char-offset:357467","PLACE","http://sws.geonames.org/3359041","Worcester","-33.64651","19.44852","","UNVERIFIED","",""
"11db520f-88a1-44a2-bca1-899d4b8a9418","Scotland","char-offset:357614","PLACE","http://sws.geonames.org/2638360","Scotland","","","","UNVERIFIED","",""
"1cd4de1c-2fbc-44d3-8635-c99a5bed7e36","Edinburgh Castle","char-offset:357722","PLACE","http://pleiades.stoa.org/places/89153","Cramond|Cramond","55.977587","-3.300378","fort","UNVERIFIED","",""
"9f81e595-c299-47b7-8e81-60235abf8482","Killiecrankie","char-offset:357840","PLACE","","","","","","UNVERIFIED","",""
"d60ee224-2589-4de6-88bb-46ce4df60ffe","Holland","char-offset:357856","PLACE","http://sws.geonames.org/4996248","Holland","42.78752","-86.10893","","UNVERIFIED","",""
"98f709ae-4b85-4fbe-a85a-54f7994dfe33","Holland House","char-offset:357966","PLACE","","","","","","UNVERIFIED","",""
"6186d2d5-1eef-4d04-9e1f-781eea7af945","Paris","char-offset:358102","PLACE","http://pleiades.stoa.org/places/109126","Lutetia|Lutetia/Parisius, Paris|Paris","48.852964","2.349952","amphitheatre,bath,settlement","UNVERIFIED","",""
"3b35f207-3edb-4f13-ad0e-8cf3da24d4c7","St. Bartholemew","char-offset:358142","PLACE","","","","","","UNVERIFIED","",""
"eb6ae9dd-f885-4468-add9-0a6618640725","Shelburne","char-offset:358175","PLACE","http://sws.geonames.org/4950747","Shelburne","42.58981","-72.68842","","UNVERIFIED","",""
"61008bcb-fea5-4b3d-9b2e-89c29effe13e","Lansdowne","char-offset:358221","PLACE","http://sws.geonames.org/3364682","Lansdowne","-33.98735","18.49746","","UNVERIFIED","",""
"c838f355-7a3b-42aa-8739-acc64dd12067","St. Andrews","char-offset:359001","PLACE","http://sws.geonames.org/2638864","Saint Andrews","56.33871","-2.79902","","UNVERIFIED","",""
"1a35f006-68aa-459f-92dd-ca563156b747","Cornwall","char-offset:359056","PLACE","http://sws.geonames.org/5113775","Cornwall-on-Hudson","41.44482","-74.0157","","UNVERIFIED","",""
"6db00d40-27dd-4c73-93bf-bdf2fe9a9a0f","Chesterfield","char-offset:359276","PLACE","http://dare.ht.lu.se/places/25422","Chesterfield","53.235544","-1.424647","","UNVERIFIED","",""
"a6eee13a-0db8-4d5a-8ac6-57de18e46674","Chelsea Fields","char-offset:359626","PLACE","","","","","","UNVERIFIED","",""
"e270fd97-a67d-4647-b1cb-919fc7d78ac3","Covent Garden","char-offset:359717","PLACE","","","","","","UNVERIFIED","",""
